SID,SCHID,GENDER,Y2S2_1,Y2S2_2,Y2S2_3,Y2S2_4,Y2S2_5,Y2S2_6,Y2S2_7,Y2S2_8,Y2S2_9,Y2S2_10,Y2S2_11,Y2S2_12,Y2S2_13,Y2S2_14,Y2S2_15,Y2S2_16,Y2S2_17,Y2S2_18,Y2S2_19,Y2S2_20,Y2S2_21,Y2S2_22,Y2S2_23,Y2S2_24,Y2S2_25,Y2S2_26,Y2S2_27,Y2S2_28,Y2S2_29,Y2S2_30,Y2L3_1,Y2L3_2,Y2L3_3,Y2L3_4,Y2L6_15,Y2L6_16,Y2L6_17,Y2L6_18,Y2L6_19,Y2L6_5,Y2L6_6,Y2L6_7,Y2L6_8,Y2L6_9,Y2L6_10,Y2L6_11,Y2L6_12,Y2L6_13,Y2L6_14,Y2S36_1,Y2S36_2,Y2S36_3,Y2KOR_S,Y2ENG_S,Y2MAT_S,Y2KOR_V,Y2ENG_V,Y2MAT_V
2348,48,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2349,48,1,5,5,5,5,4,4,5,4,4,5,5,4,4,5,4,4,4,3,3,3,3,3,3,3,5,3,4,3,4,5,4,2,1,4,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,4,4,4,53,58,80,376,412,456
2350,48,1,3,3,3,3,3,3,3,2,3,3,3,3,5,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,3,2,2,-1,2,-1,51,46,65,368,389,431
2351,48,2,5,4,4,4,4,5,4,5,4,5,5,5,5,5,5,5,4,4,3,3,3,3,3,3,4,4,4,3,4,4,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,2,-1,3,-1,46,94,85,360,503,467
2352,48,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,100,94,90,772,503,480
2353,48,1,4,3,3,3,3,4,3,4,4,3,3,4,4,4,4,4,3,3,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,61,40,35,399,374,374
2354,48,1,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,5,5,5,69,49,60,415,395,423
2355,48,2,5,3,3,4,3,4,3,4,3,4,4,4,5,5,4,4,3,2,1,1,1,3,2,2,2,3,4,2,2,3,2,2,2,3,3,2,2,3,3,3,2,2,1,2,2,2,2,2,2,5,5,3,88,76,60,501,445,423
2356,48,1,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,5,5,3,5,5,-1,3,3,2,4,5,4,3,3,3,3,3,2,2,3,3,2,3,3,2,3,3,3,3,2,4,4,5,5,5,54,31,45,376,344,397
2357,48,1,5,2,4,4,2,3,1,3,3,2,3,4,2,3,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46,37,25,352,366,335
